[1]	train-auc:0.508578	test-auc:0.509391 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[48]	train-auc:0.509566	test-auc:0.507483 
[49]	train-auc:0.509566	test-auc:0.507484 
[50]	train-auc:0.509566	test-auc:0.507484 
[51]	train-auc:0.509566	test-auc:0.507484 
[52]	train-auc:0.509566	test-auc:0.507484 
[53]	train-auc:0.509566	test-auc:0.507484 
[54]	train-auc:0.509566	test-auc:0.507492 
[55]	train-auc:0.509566	test-auc:0.507488 
[56]	train-auc:0.509566	test-auc:0.507492 
[57]	train-auc:0.509566	test-auc:0.507488 
[58]	train-auc:0.509566	test-auc:0.507485 
[59]	train-auc:0.509567	test-auc:0.507484 
[60]	train-auc:0.509567	test-auc:0.507493 
[61]	train-auc:0.509567	test-auc:0.507494 
[62]	train-auc:0.509567	test-auc:0.507493 
[63]	train-auc:0.509567	test-auc:0.507485 
[64]	train-auc:0.509704	test-auc:0.507425 
[65]	train-auc:0.509704	test-auc:0.507423 
[66]	train-auc:0.509704	test-auc:0.507423 
[67]	train-auc:0.509704	test-auc:0.507423 
[68]	train-auc:0.509704	test-auc:0.507423 
[69]	train-auc:0.509704	test-auc:0.507423 
[70]	train-auc:0.509704	test-auc:0.507422 
[71]	train-auc:0.509704	test-auc:0.507423 
[72]	train-auc:0.509704	test-auc:0.507423 
[73]	train-auc:0.509704	test-auc:0.507422 
[74]	train-auc:0.509704	test-auc:0.507422 
[75]	train-auc:0.509704	test-auc:0.507427 
[76]	train-auc:0.509704	test-auc:0.507426 
[77]	train-auc:0.509704	test-auc:0.507427 
[78]	train-auc:0.509873	test-auc:0.507415 
[79]	train-auc:0.509874	test-auc:0.507414 
[80]	train-auc:0.509874	test-auc:0.507414 
[81]	train-auc:0.509863	test-auc:0.507410 
[82]	train-auc:0.509863	test-auc:0.507411 
[83]	train-auc:0.509863	test-auc:0.507406 
[84]	train-auc:0.509863	test-auc:0.507411 
[85]	train-auc:0.509863	test-auc:0.507406 
[86]	train-auc:0.509863	test-auc:0.507405 
[87]	train-auc:0.509864	test-auc:0.507406 
[88]	train-auc:0.509864	test-auc:0.507406 
[89]	train-auc:0.509861	test-auc:0.507401 
[90]	train-auc:0.509861	test-auc:0.507401 
[91]	train-auc:0.509861	test-auc:0.507402 
[92]	train-auc:0.509808	test-auc:0.507347 
[93]	train-auc:0.509807	test-auc:0.507348 
[94]	train-auc:0.509804	test-auc:0.507347 
[95]	train-auc:0.509804	test-auc:0.507347 
[96]	train-auc:0.509804	test-auc:0.507347 
[97]	train-auc:0.509803	test-auc:0.507349 
[98]	train-auc:0.509803	test-auc:0.507348 
[99]	train-auc:0.509804	test-auc:0.507350 
[100]	train-auc:0.509804	test-auc:0.507350 
[101]	train-auc:0.509804	test-auc:0.507350 
Stopping. Best iteration:
[1]	train-auc:0.509160	test-auc:0.507904

[1]	train-auc:0.509140	test-auc:0.507628 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.509198	test-auc:0.507126 
[3]	train-auc:0.509198	test-auc:0.507126 
[4]	train-auc:0.509203	test-auc:0.507123 
[5]	train-auc:0.509330	test-auc:0.507260 
[6]	train-auc:0.509205	test-auc:0.507125 
[7]	train-auc:0.509207	test-auc:0.507128 
[8]	train-auc:0.509208	test-auc:0.507125 
[9]	train-auc:0.509208	test-auc:0.507125 
[10]	train-auc:0.509234	test-auc:0.507606 
[11]	train-auc:0.509232	test-auc:0.507606 
[12]	train-auc:0.509257	test-auc:0.507625 
[13]	train-auc:0.509236	test-auc:0.507606 
[14]	train-auc:0.509251	test-auc:0.507598 
[15]	train-auc:0.509240	test-auc:0.507590 
[16]	train-auc:0.509268	test-auc:0.507608 
[17]	train-auc:0.509249	test-auc:0.507592 
[18]	train-auc:0.509371	test-auc:0.507717 
[19]	train-auc:0.509316	test-auc:0.507668 
[20]	train-auc:0.509316	test-auc:0.507669 
[21]	train-auc:0.509416	test-auc:0.507759 
[22]	train-auc:0.509419	test-auc:0.507765 
[23]	train-auc:0.509419	test-auc:0.507767 
[24]	train-auc:0.509430	test-auc:0.507774 
[25]	train-auc:0.509416	test-auc:0.507761 
[26]	train-auc:0.509425	test-auc:0.507769 
[27]	train-auc:0.509430	test-auc:0.507774 
[28]	train-auc:0.509369	test-auc:0.508055 
[29]	train-auc:0.509313	test-auc:0.508109 
[30]	train-auc:0.509310	test-auc:0.508105 
[31]	train-auc:0.509310	test-auc:0.508106 
[32]	train-auc:0.509306	test-auc:0.508102 
[33]	train-auc:0.509306	test-auc:0.508103 
[34]	train-auc:0.509305	test-auc:0.508103 
[35]	train-auc:0.509445	test-auc:0.508065 
[36]	train-auc:0.509445	test-auc:0.508065 
[37]	train-auc:0.509446	test-auc:0.508066 
[38]	train-auc:0.509446	test-auc:0.508066 
[39]	train-auc:0.509446	test-auc:0.508067 
[40]	train-auc:0.509446	test-auc:0.508067 
[41]	train-auc:0.509465	test-auc:0.508071 
[42]	train-auc:0.509446	test-auc:0.508067 
[43]	train-auc:0.509446	test-auc:0.508066 
[44]	train-auc:0.509446	test-auc:0.508067 
[45]	train-auc:0.509447	test-auc:0.508066 
[46]	train-auc:0.509447	test-auc:0.508067 
[47]	train-auc:0.509447	test-auc:0.508067 
[48]	train-auc:0.509448	test-auc:0.508067 
[49]	train-auc:0.509448	test-auc:0.508067 
[50]	train-auc:0.509441	test-auc:0.508063 
[51]	train-auc:0.509442	test-auc:0.508065 
[52]	train-auc:0.509441	test-auc:0.508065 
[53]	train-auc:0.509442	test-auc:0.508065 
[54]	train-auc:0.509442	test-auc:0.508065 
[55]	train-auc:0.509443	test-auc:0.508073 
[56]	train-auc:0.509443	test-auc:0.508074 
[57]	train-auc:0.509443	test-auc:0.508074 
[58]	train-auc:0.509443	test-auc:0.508074 
[59]	train-auc:0.509443	test-auc:0.508074 
[60]	train-auc:0.509443	test-auc:0.508073 
[61]	train-auc:0.509444	test-auc:0.508076 
[62]	train-auc:0.509444	test-auc:0.508076 
[63]	train-auc:0.509444	test-auc:0.508073 
[64]	train-auc:0.509444	test-auc:0.508076 
[65]	train-auc:0.509475	test-auc:0.508122 
[66]	train-auc:0.509475	test-auc:0.508122 
[67]	train-auc:0.509475	test-auc:0.508122 
[68]	train-auc:0.509475	test-auc:0.508125 
[69]	train-auc:0.509475	test-auc:0.508122 
[70]	train-auc:0.509475	test-auc:0.508121 
[71]	train-auc:0.509488	test-auc:0.508129 
[72]	train-auc:0.509488	test-auc:0.508129 
[73]	train-auc:0.509488	test-auc:0.508125 
[74]	train-auc:0.509508	test-auc:0.508129 
[75]	train-auc:0.509507	test-auc:0.508129 
[76]	train-auc:0.509508	test-auc:0.508131 
[77]	train-auc:0.509508	test-auc:0.508129 
[78]	train-auc:0.509508	test-auc:0.508130 
[79]	train-auc:0.509508	test-auc:0.508131 
[80]	train-auc:0.509508	test-auc:0.508131 
[81]	train-auc:0.509508	test-auc:0.508131 
[82]	train-auc:0.509508	test-auc:0.508131 
[83]	train-auc:0.509508	test-auc:0.508131 
[84]	train-auc:0.509639	test-auc:0.508093 
[85]	train-auc:0.509639	test-auc:0.508095 
[86]	train-auc:0.509639	test-auc:0.508095 
[87]	train-auc:0.509639	test-auc:0.508095 
[88]	train-auc:0.509639	test-auc:0.508095 
[89]	train-auc:0.509647	test-auc:0.508099 
[90]	train-auc:0.509682	test-auc:0.507559 
[91]	train-auc:0.509682	test-auc:0.507559 
[92]	train-auc:0.509682	test-auc:0.507559 
[93]	train-auc:0.509681	test-auc:0.507559 
[94]	train-auc:0.509682	test-auc:0.507559 
[95]	train-auc:0.509683	test-auc:0.507559 
[96]	train-auc:0.509682	test-auc:0.507559 
[97]	train-auc:0.509683	test-auc:0.507559 
[98]	train-auc:0.509683	test-auc:0.507559 
[99]	train-auc:0.509683	test-auc:0.507559 
